구분,자동차용경유
2020년04월01일,1190.50
2020년04월02일,1184.19
2020년04월03일,1178.65
2020년04월04일,1174.57
2020년04월05일,1172.64
2020년04월06일,1169.74
2020년04월07일,1164.68
2020년04월08일,1159.16
2020년04월09일,1154.71
2020년04월10일,1151.07
2020년04월11일,1147.46
2020년04월12일,1145.88
2020년04월13일,1143.12
2020년04월14일,1139.03
2020년04월15일,1134.87
2020년04월16일,1131.51
2020년04월17일,1127.11
2020년04월18일,1123.01
2020년04월19일,1120.79
2020년04월20일,1117.33
2020년04월21일,1111.91
2020년04월22일,1107.16
2020년04월23일,1102.66
2020년04월24일,1098.28
2020년04월25일,1094.84
2020년04월26일,1092.88
2020년04월27일,1090.09
2020년04월28일,1085.57
2020년04월29일,1081.50
2020년04월30일,1078.54
2020년05월01일,1075.28
2020년05월02일,1073.84
2020년05월03일,1072.70
2020년05월04일,1071.05
2020년05월05일,1068.43
2020년05월06일,1067.27
2020년05월07일,1065.07
2020년05월08일,1063.74
2020년05월09일,1062.51
2020년05월10일,1062.18
2020년05월11일,1061.41
2020년05월12일,1060.35
2020년05월13일,1059.55
2020년05월14일,1059.16
2020년05월15일,1058.75
2020년05월16일,1059.02
2020년05월17일,1059.12
2020년05월18일,1059.50
2020년05월19일,1059.77
2020년05월20일,1060.26
2020년05월21일,1061.27
2020년05월22일,1062.70
2020년05월23일,1063.99
2020년05월24일,1064.54
2020년05월25일,1065.87
2020년05월26일,1068.51
2020년05월27일,1070.81
2020년05월28일,1073.05
2020년05월29일,1075.16
2020년05월30일,1077.12
2020년05월31일,1078.20
2020년06월01일,1081.82
2020년06월02일,1084.15
2020년06월03일,1086.91
2020년06월04일,1089.92
2020년06월05일,1094.27
2020년06월06일,1099.12
2020년06월07일,1101.38
2020년06월08일,1105.88
2020년06월09일,1112.20
2020년06월10일,1117.30
2020년06월11일,1121.52
2020년06월12일,1125.19
2020년06월13일,1127.84
2020년06월14일,1128.99
2020년06월15일,1131.65
2020년06월16일,1134.37
2020년06월17일,1137.11
2020년06월18일,1139.58
2020년06월19일,1142.00
2020년06월20일,1144.35
2020년06월21일,1145.50
2020년06월22일,1147.87
2020년06월23일,1150.24
2020년06월24일,1151.92
2020년06월25일,1153.36
2020년06월26일,1154.71
2020년06월27일,1155.94
2020년06월28일,1156.35
2020년06월29일,1157.44
2020년06월30일,1158.25
2020년07월01일,1159.77
2020년07월02일,1160.40
2020년07월03일,1161.04
2020년07월04일,1161.30
2020년07월05일,1161.47
2020년07월06일,1161.97
2020년07월07일,1162.36
2020년07월08일,1162.63
